Distretto,Comune,Casi ultimi 7gg,Incidenza x 100.000 ab 7 gg,Variazione tra le settimane
MILAZZO,ROCCAVALDINA,4,396.83,---
MILAZZO,SAN FILIPPO DEL MELA,23,339.73,156%
MILAZZO,MILAZZO,41,137.20,105%
MILAZZO,MONFORTE SAN GIORGIO,3,116.23,-75%
MILAZZO,PACE DEL MELA,7,113.78,250%
MILAZZO,TORREGROTTA,5,69.30,150%
MILAZZO,SANTA LUCIA DEL MELA,2,44.40,---
MILAZZO,SPADAFORA,2,41.73,100%
MILAZZO,VENETICO,1,25.38,-83%
MILAZZO,SAN PIER NICETO,0,0.00,-100%
MILAZZO,GUALTIERI SICAMINÒ,0,0.00,---
MILAZZO,CONDRÒ,0,0.00,---
MILAZZO,VALDINA,0,0.00,---
CATANIA,CATANIA,286,97.18,1%
CATANIA,MISTERBIANCO,46,93.33,-29%
CATANIA,MOTTA SANT'ANASTASIA,7,57.44,-71%
AUGUSTA,MELILLI,29,217.31,-33%
AUGUSTA,AUGUSTA,14,40.59,-44%
MISTRETTA,MISTRETTA,9,199.60,---
MISTRETTA,PETTINEO,1,79.37,---
MISTRETTA,SANTO STEFANO DI CAMASTRA,2,44.55,0%
MISTRETTA,REITANO,0,0.00,---
MISTRETTA,CASTEL DI LUCIO,0,0.00,---
MISTRETTA,TUSA,0,0.00,---
MISTRETTA,MOTTA D'AFFERMO,0,0.00,---
ACIREALE,ACI SANT'ANTONIO,20,111.84,33%
ACIREALE,ACI CATENA,28,101.38,-22%
ACIREALE,ZAFFERANA ETNEA,6,63.50,-57%
ACIREALE,ACIREALE,30,59.12,20%
ACIREALE,ACI CASTELLO,10,56.76,25%
ACIREALE,SANTA VENERINA,1,11.96,-50%
ACIREALE,ACI BONACCORSI,0,0.00,---
SIRACUSA,PALAZZOLO ACREIDE,7,84.10,---
SIRACUSA,SIRACUSA,96,81.29,7%
SIRACUSA,PRIOLO GARGALLO,7,60.83,75%
SIRACUSA,SORTINO,5,60.07,0%
SIRACUSA,CANICATTINI BAGNI,3,45.16,---
SIRACUSA,FLORIDIA,9,42.58,-63%
SIRACUSA,SOLARINO,3,39.39,-57%
SIRACUSA,BUCCHERI,0,0.00,---
SIRACUSA,BUSCEMI,0,0.00,---
SIRACUSA,CASSARO,0,0.00,-100%
SIRACUSA,FERLA,0,0.00,---
GRAVINA DI CATANIA,MASCALUCIA,37,119.67,-27%
GRAVINA DI CATANIA,VALVERDE,9,115.15,125%
GRAVINA DI CATANIA,PEDARA,12,81.98,-25%
GRAVINA DI CATANIA,VIAGRANDE,7,81.36,133%
GRAVINA DI CATANIA,GRAVINA DI CATANIA,20,79.63,-13%
GRAVINA DI CATANIA,TREMESTIERI ETNEO,11,55.66,38%
GRAVINA DI CATANIA,SAN PIETRO CLARENZA,4,49.81,300%
GRAVINA DI CATANIA,TRECASTAGNI,5,44.92,---
GRAVINA DI CATANIA,NICOLOSI,3,40.41,-50%
GRAVINA DI CATANIA,CAMPOROTONDO ETNEO,2,39.18,100%
GRAVINA DI CATANIA,SANT'AGATA LI BATTIATI,3,32.32,50%
GRAVINA DI CATANIA,SAN GIOVANNI LA PUNTA,7,30.64,-50%
GRAVINA DI CATANIA,SAN GREGORIO DI CATANIA,1,8.80,-91%
RIBERA,VILLAFRANCA SICULA,10,735.84,400%
RIBERA,CATTOLICA ERACLEA,4,117.75,33%
RIBERA,BURGIO,2,77.76,---
RIBERA,RIBERA,4,22.28,33%
RIBERA,CALAMONACI,0,0.00,---
RIBERA,MONTALLEGRO,0,0.00,---
RIBERA,LUCCA SICULA,0,0.00,---
LENTINI,FRANCOFONTE,20,168.82,-9%
LENTINI,CARLENTINI,5,29.65,400%
LENTINI,LENTINI,3,13.69,-40%
LICATA,PALMA DI MONTECHIARO,20,93.63,-13%
LICATA,LICATA,10,28.42,100%
ENNA,CATENANUOVA,4,87.37,---
ENNA,ENNA,18,69.15,-50%
ENNA,VALGUARNERA CAROPEPE,3,41.89,50%
ENNA,CALASCIBETTA,0,0.00,-100%
ENNA,VILLAROSA,0,0.00,---
ENNA,CENTURIPE,0,0.00,---
LERCARA FRIDDI,LERCARA FRIDDI,10,156.08,-29%
LERCARA FRIDDI,ROCCAPALUMBA,1,44.80,---
LERCARA FRIDDI,VICARI,1,39.60,0%
LERCARA FRIDDI,PRIZZI,1,22.77,---
LERCARA FRIDDI,ALIA,0,0.00,---
LERCARA FRIDDI,CASTRONOVO DI SICILIA,0,0.00,---
LERCARA FRIDDI,PALAZZO ADRIANO,0,0.00,---
LERCARA FRIDDI,VALLEDOLMO,0,0.00,---
MESSINA,VILLAFRANCA TIRRENA,11,133.56,-15%
MESSINA,SAPONARA,3,80.52,200%
MESSINA,ROMETTA,5,77.77,25%
MESSINA,ROCCALUMERA,3,76.30,200%
MESSINA,MESSINA,101,44.78,-19%
MESSINA,FURCI SICULO,1,31.40,---
MESSINA,NIZZA DI SICILIA,1,28.26,---
MESSINA,PAGLIARA,0,0.00,---
MESSINA,ALÌ TERME,0,0.00,---
MESSINA,FIUMEDINISI,0,0.00,---
MESSINA,MANDANICI,0,0.00,---
MESSINA,ALÌ,0,0.00,---
MESSINA,ITALA,0,0.00,---
MESSINA,SCALETTA ZANCLEA,0,0.00,---
GELA,GELA,41,57.31,-18%
GELA,NISCEMI,8,31.25,-11%
GELA,MAZZARINO,3,26.82,---
GELA,BUTERA,0,0.00,---
GIARRE,MILO,1,96.53,0%
